strategy,round,B,mean,std_error
BudgetAdaptiveTypiClust,1,10,15.534,0.5047
BudgetAdaptiveTypiClust,2,20,19.741,0.3996
BudgetAdaptiveTypiClust,3,30,23.076,0.3497
BudgetAdaptiveTypiClust,4,40,25.972,0.4141
BudgetAdaptiveTypiClust,5,50,26.757,0.4291
BudgetAdaptiveTypiClust,6,60,28.748,0.1674
TPC_RP,1,10,15.791,0.2078
TPC_RP,2,20,18.765,0.2206
TPC_RP,3,30,22.285,0.1796
TPC_RP,4,40,24.122,0.2299
TPC_RP,5,50,26.196,0.2562
TPC_RP,6,60,27.147,0.2104
Random,1,10,14.14,0.5843
Random,2,20,16.801,0.6392
Random,3,30,18.3,0.6561
Random,4,40,19.195,0.4982
Random,5,50,20.844,0.5065
Random,6,60,21.863,0.4885
Uncertainty,1,10,15.545,0.5415
Uncertainty,2,20,17.144,0.7657
Uncertainty,3,30,18.294,0.6424
Uncertainty,4,40,19.68,0.5151
Uncertainty,5,50,21.448,0.5602
Uncertainty,6,60,22.876,0.6164
Margin,1,10,14.523,0.486
Margin,2,20,17.669,0.8881
Margin,3,30,19.557,0.651
Margin,4,40,21.603,0.5764
Margin,5,50,21.762,0.5004
Margin,6,60,23.077,0.4386
Entropy,1,10,14.948,0.6379
Entropy,2,20,17.162,0.5688
Entropy,3,30,18.525,0.521
Entropy,4,40,19.643,0.5044
Entropy,5,50,20.87,0.675
Entropy,6,60,21.618,0.5247
DBAL,1,10,15.23,0.5932
DBAL,2,20,17.412,0.4346
DBAL,3,30,18.053,0.472
DBAL,4,40,20.157,0.5083
DBAL,5,50,21.133,0.3193
DBAL,6,60,21.461,0.3322
CoreSet,1,10,14.957,0.4221
CoreSet,2,20,17.884,0.541
CoreSet,3,30,17.894,0.7376
CoreSet,4,40,18.886,0.362
CoreSet,5,50,20.261,0.462
CoreSet,6,60,20.483,0.4054
BALD,1,10,15.57,0.8638
BALD,2,20,17.17,0.6401
BALD,3,30,18.912,0.345
BALD,4,40,19.299,0.4457
BALD,5,50,19.863,0.5126
BALD,6,60,21.1,0.4738
BADGE,1,10,15.009,0.5798
BADGE,2,20,16.7,0.5386
BADGE,3,30,18.589,0.6595
BADGE,4,40,19.622,0.3991
BADGE,5,50,21.24,0.432
BADGE,6,60,22.218,0.3175
